军事贸易	军贸
厄尔尼诺	厄尔尼诺现象
军训	军事训练
全国人民代表大会会议	全国人大会议
军事哲学	军事辩证法
溃堤	溃决
宇航员训练	航天员训练
战役自动化指挥系统	战役指挥自动化系统
装备工艺定型	工艺定型
兵种军邮勤务	军邮
技改	技术改造
军人死亡抚恤	军人抚恤
卫生间	厕所
工商	工商业
兵器	武器
接密关系	内线
汇价	汇率
技术服务	科技服务
电视主持人	电视节目主持人
战地	战场
烟草业	烟草工业
价格水平	物价水平
长话	长途电话
建行	中国建设银行
声屏蔽	隔声
检察机关	国家检察机关
国际船舶安全运行与防止污染管理规则	国际安全管理规则
文件解密	解除密级
空气温度	气温
顾客	用户
文学鉴赏	文学欣赏
冷屏蔽	隔热
中药饮片	饮片
禁止使用的武器	禁用武器
黄箱补贴	可诉补贴
办学道路	办学方针
卡通画	动画
仪器厂	仪器仪表厂
邮政车	邮政车辆
粮油出售	粮油销售
收支结合	收支挂钩
共产主义青年团	共青团
后方勤务体制	后勤体制
军人家属	军属
收容遣送站	救助管理站
党的工作委员会	党工委
农机具	农业机械
战略自动化指挥系统	战略指挥自动化系统
武器装备购置费	装备购置费
邮票展览	邮展
喇嘛教	藏传佛教
起义人员	起义投诚人员
检查机关	国家检察机关
栽植	种植
劳动教养	劳教
地下铁路	地铁
央行	中国人民银行
市场竞争能力	市场竞争力
人武部	人民武装部
企业集团	集团企业
舰艇定位	舰船定位
战略格局	战略形势
集贸	集市贸易
国营工业	国有工业
家财保险	家庭财产保险
依赖关系	相互关系
国家级文物	国家重点文物
军事科学研究	军事科研
正规化执勤	正规执勤
国家军制	军制
可维修性	维修性
恐怖集团	恐怖组织
宗教院校	宗教学校
安钉子	渗透
地方军	地方部队
国防领导管理体制	国防领导体制
股份有限公司	股份公司
印刷业	印刷工业
农业贸易结合	农贸结台	农贸结合
储运	储备运输
地矿	矿产
军队科学技术进步奖	军队科技进步奖
防热	隔热
群众感谢信	感谢信
汇兑比率	汇率
军产保护法	军事设施保护法
企业经营方针	企业经营
卫星通信地球站	地球站
商品供给	商品供应
偿还能力	偿付能力
调查材料	调研材料
惩办	惩治
商品制造	商品生产
委务会议	委员会会议
军事卫星	军用卫星
港澳台合资经营企业	港澳台商企业
军队纪委	军队纪律检查委员会
冷蛋子	冰雹
边防工作政策规定	边防政策
倒卖车票	倒票
物资存储	物资储备
全军体育运动大会	全军运动会
裁谈	裁军谈判
解密	解除密级
企业经营计划	企业经营
消费能力	消费力
保护臭氧层	臭氧层保护
全宗群	全宗汇集
常务委员会会议	常委会议
军队政治部门	军队政治机关
纪律检查委员会	纪委	纪检
展卖	展销
绿色产业	环保产业
人民防空	人防
微量降雨	零星小雨
武器装备编配标准	装备编配标准
边界谈判	边界问题谈判
水面舰船	水面舰艇
预备力量动员	后备力量动员
高新技术企业	高技术企业
军事援外经费	军援经费
东南亚国家联盟	东盟
思想理论研究	理论研究
细菌武器	生物武器
专才	专门人才
保税	保护关税
军队指挥自动化系统	自动化指挥系统
军民共建精神文明	军民共建
全国人民代表大会常务委员会委员长会议	委员长会议
受审军官	受审查军官
撤销职务	撤职
市内电话业务资费	市话资费
水陆两栖飞机	水陆两用飞机
军事部门	军事机关
分区征集	划区征集
军援协议	军援协定
大气环流形势	天气形势
深弹探测	深水炸弹探测
干燥度	干燥指数
家庭轿车	家用轿车
农林牧结合	农业综合发展
信息技术、信息系统	内部网
国防经济	军品
造纸设备	造纸机械
文件传真机	传真机
地雷探测	探雷
电话会	电话会议
化学防护	化学武器防护
造船厂	船厂
雷达抗干扰	雷达反干扰
公交	公共交通
购置	购买
保密督察	保密检查
白霜	霜
标题法	主题法
高新企业	高技术企业
最高统帅部	统帅部
零件	零部件
特务	间谍
核物理	核物理学
人武	武装力量
外国军事学员	外军学员
基本建设费用	基建费
尘暴	沙尘暴
信用社	信用合作社
越界	越境
中共中央政治局扩大会议(1959)	庐山会议(1959)
检举	举报
木材工业	木材加工业
家用电脑	微型计算机
武力干涉	武装干涉
军队杂志	军队期刊
价格指数	物价指数
驻军式训练	野营训练
复垦开发	土地复垦开发
行李包裹	行李
航次	航班
中等医学教育	医学教育
色情出版物	淫秽出版物
抚慰金	抚恤费
军事工业	国防工业
膨胀性财政政策	扩张性财政政策
国家政权	政权
防震结构	抗震结构
恢复外文关系	复交
整党	党的整顿
原油	石油
军工产品出口法规	军品出口法规
中国人民解放军	解放军
湿润系数	湿润指数
“四五”事件(1976)	天安门事件(1976)
平反冤假错案	平反
海外华人	华人
