abandon,/əˈbændən/,v.放弃；抛弃；放纵,n.放纵,,,
ability,/əˈbɪləti/,n.能力；才能,,,,
able,/ˈeɪbl/,adj.能够的；有能力的；能干的,,,,
abnormal,/æbˈnɔːrml/,adj.反常的；不正常的；变态的,n.不正常的人,,,
aboard,/əˈbɔːrd/,adv.在船上；在火车上；在飞机上,prep.上船；上飞机；上车,,,
about,/əˈbaʊt/,prep.关于；大约；在 ... 周围,adv.大约；附近；到处；在周围,adj.即将的；正要的；在流行中的,,
above,/əˈbʌv/,prep.超过；在 ... 上面；高于,adj.上面的；以上的,adv.在上面；超过；更重要地；上文地,n.上面的东西,
abroad,/əˈbrɔːd/,adv.到国外；广为流传,adj.在国外；海外(一般作表语),,,
abruptly,/əˈbrʌptli/,adv.突然地；莽撞地；陡峭地；不连贯地,,,,
absence,/ˈæbsəns/,n.缺席；缺乏,,,,
absent,/ˈæbsənt/,adj.缺席的；不在的；缺乏的,vt.使缺席,,,
absolute,/ˈæbsəluːt/,adj.绝对的；确实的；专制的；完全的；独立的；无限制的,n.绝对的事物,,,
absolutely,/ˈæbsəluːtli/,adv.完全地；绝对地；[语]独立地,int.（表示赞同）完全正确，一点没错,,,
absorb,/əbˈsɔːrb/,vt.吸收；吸引 ... 的注意；吞并；承受,,,,
abstract,/ˈæbstrækt/,adj.抽象的；理论的；抽象派的,n.摘要；抽象派艺术作品,v.(/æbˈstrækt/)把…抽象出；提取；抽取；转移(注意力等)；做…的摘要；<婉>偷,,
abundant,/əˈbʌndənt/,adj.丰富的；充裕的,,,,
abuse,/əˈbjuːs/,n.滥用；恶习,vt.滥用；辱骂；虐待,,,
academic,/ˌækəˈdemɪk/,adj.学院的；学术的；理论的,n.大学教师，大学生；学者，学究,,,
academy,/əˈkædəmi/,n.学院；学会；专科学校,,,,
accelerate,/əkˈseləreɪt/,v.加速；提前；跳级,,,,
acceleration,/əkˌseləˈreɪʃn/,n.加速；促进；加速度,,,,
accent,/ˈæksent/,n.重音；口音；强调,vt.重读；强调,,,
accept,/əkˈsept/,vt.接受；同意；承担(责任等),vi.接受,,,
acceptable,/əkˈseptəbl/,adj.合意的；受欢迎的；可接受的,,,,
acceptance,/əkˈseptəns/,n.认可；同意；承兑；接受（礼物、邀请、建议等）,,,,
