序 号,出货条码,品名,规格,单位,:销售数量,售价,:销售金额,:毛利,:毛利率％,:成本金额,商品库存,最新货商
1,0000001,电动收纳机,,个,1,35,35,7,20,28,0,1109
2,00000029,南峰粘钩系列,,个,5,3.8,9.5,1.5,15.79,8,-8,2048
3,0000069014277,维他奶125ml*4,1*11,排,10,5.6,56,7,12.5,49,9,2093
4,0000069014468,巧克力维他奶125ml*4,1*11,排,4,5.6,22.4,3.4,15.18,19,20,2093
5,0000069017667,维他乳酸奶125ml*4,1*11,排,1,5.6,5.6,1,17.86,4.6,23,2093
6,0000069019111,维他草莓乳酸钙奶125ml*4,1*11,排,2,5.6,11.2,2.8,25,8.4,13,2093
7,000021,塑底麻地毯45*75,,张,5,12.9,44.1,3.1,7.03,41,35,2048
8,000528,小电蚊拍,,个,24,27,557.5,152.5,27.35,405,11,2048
9,00982,蚊香盘,,个,15,2.5,37.5,18,48,19.5,-4,2048
10,0101001,大鹏14CM奶锅,,个,1,10.9,10.9,2.8,25.69,8.1,4,2046
11,0101002,大鹏16CM奶锅,,个,3,12.9,38.7,12.9,33.33,25.8,8,2046
12,01010020,塑底麻地毯45*75,,张,1,12.9,12.9,3.2,24.81,9.7,1,2048
13,0101003,大鹏18CM奶锅,,个,7,14.8,103.6,21.7,20.95,81.9,6,2046
14,0101004,大号红酒开瓶器,,个,5,11.5,57.5,14.5,25.22,43,7,2046
15,0101008,精工12CM焊碗,,个,1,6.9,6.9,1.6,23.19,5.3,24,2046
16,0101009,精工13CM焊碗,,个,1,8.9,8.9,2.4,26.97,6.5,4,2046
17,0101012,长发32CM锅盖,,个,3,10.5,31.5,8.4,26.67,23.1,5,2046
18,0101015,永长乐32CM锅盖,,个,2,17.9,35.8,8.8,24.58,27,2,2046
19,0101016,永长乐34CM锅盖,,个,3,19.9,59.7,13.8,23.12,45.9,2,2046
20,0101017,大华无纸芯纸筒,,个,1,23.8,23.8,5.8,24.37,18,3,2046
21,0101018,明光加厚热水瓶5P 430,,个,5,31.8,159,42,26.42,117,8,2046
22,0101022,利俊350ML吊带旅行杯彩盒,,个,1,13.8,13.8,3.7,26.81,10.1,3,2046
23,0101024,利俊380ML绅士杯,,个,3,18.9,56.7,13.5,23.81,43.2,3,2046
24,0101027,智能达604棕色1.0L泡茶壶,,个,1,89,89,37,41.57,52,-1,2046
25,0101029,明光加厚热水瓶8P 304,,个,2,55,110,27.2,24.73,82.8,5,2046
26,0101030,5元均价系列,,个,18,5,90,9,10,81,115,2046
27,0101031,9.9元均价系列,,个,6,9.9,59.4,5.4,9.09,54,36,2046
28,0101040,不锈钢短衣叉,,个,3,8.5,25.5,6.6,25.88,18.9,7,2046
29,0101042,中华玲珑杯,,个,17,12,174.6,21.6,12.37,153,8,2046
30,01020002,不凡帝珍宝珠混合味硬糖棒棒糖,*108支,支,241,0.5,120.5,24.1,20,96.4,25,1029
31,01020003,徐福记棒棒糖DODO,50支*20包,支,6,0.5,3,1.32,44,1.68,121,1082
32,01020005,真知棒棒糖,1*120,支,76,0.5,38,15.2,40,22.8,-243,1038
33,010209,双彩绣花巾0029#,,条,1,7.5,7.5,2,26.67,5.5,-1,2066
34,01040013,食用小苏打,1*50,包,197,0.5,98.5,80.77,82,17.73,51,1087
35,01040014,麻罗甜酒粉,1*50,包,98,0.8,78.4,50.96,65,27.44,47,1087
36,01040015,大有槟椥椰子糖60粒,1*120,袋,13,2.5,32.5,14.63,45,17.88,7,1087
37,02010022,散装草纸1斤装,1*20,包,33,1.5,49.5,11.55,23.33,37.95,35,2040
38,02020105,小毛刷,,个,503,0.6,287.3,111.1,38.67,176.2,1204,2065
39,02020106,竹签,,扎,341,1,292.2,206.95,70.82,85.25,-571,2065
40,02020264,烧烤炉,,个,8,11.8,89.6,27.2,30.36,62.4,12,2065
41,02020265,烧烤叉,,个,124,1,165.8,97.6,58.87,68.2,371,2065
42,02020266,烧烤网,,个,59,4,158,40,25.32,118,496,2065
43,02020286,粥煲3号,,个,2,12,24,11,45.83,13,8,2065
44,02020290,粥煲5号单柄,,个,3,7,21,6,28.57,15,9,2065
45,02020291,温煲3号,,个,5,18,90,25,27.78,65,9,2065
46,02020293,大号日式煲,,个,2,9,18,6,33.33,12,8,2065
47,02020295,元四双耳沙煲,,个,2,4,8,2.4,30,5.6,8,2065
48,02050026,心相印三层压花皮夹纸,,包,47,1,47,21.93,46.67,25.07,-227,2053
49,02050061,打火机,1*50,个,20,0.5,10,3.2,32,6.8,155,1087
50,02050062,新华电池7#,7#,粒,6,0.6,3.6,1.6,44.45,2,90,2040
51,02050063,新华电池5#,5#,粒,66,0.6,39.6,15.18,38.33,24.42,48,2040
52,02050065,新华电池大号,1*10粒*20(件),粒,40,1.5,60,25,41.67,35,62,2040
53,02050074,特大礼品袋,,个,13,3.5,45.5,15.6,34.29,29.9,16,1087
54,02050090,防风火机,,个,9,3,27,18.9,70,8.1,29,1087
55,03010003,双汇火腿肠95克,95克*50,支,1,1,1,0.15,15,0.85,-1,3005
56,03010031,双汇三文治250g,1*18,个,12,5.2,62.4,15.84,25.38,46.56,16,5045
57,030983,男童凉鞋,,对,2,12.5,25,6.6,26.4,18.4,4,2079
58,031334,女凉拖238,,对,1,8.9,8.9,2.4,26.97,6.5,7,2079
59,031842,春辉童拖,,对,1,5.3,5.3,1.4,26.41,3.9,0,2079
60,032074,牛筋男拖,,对,1,9,9,2.4,26.67,6.6,9,2079
61,032236,花童凉拖,,对,1,12,12,3,25,9,4,2079
62,032555,男凉拖鞋,,对,9,15,135,36,26.67,99,2,2079
63,032557,回力羽毛球鞋,,对,1,52,52,14,26.92,38,5,2079
64,032563,三球足球鞋,,对,1,29,29,5.5,18.97,23.5,1,2079
65,032564,亚细亚男拖,,对,2,7.8,15.6,4.4,28.2,11.2,4,2079
66,032565,男凉鞋765,,对,4,11.5,46,12.8,27.83,33.2,0,2079
67,032568,活力女拖鞋,,对,1,10.5,10.5,3,28.57,7.5,0,2079
68,032574,远景女拖鞋,,对,1,5.9,5.9,1.6,27.12,4.3,-3,2079
69,034425,印花背棉拖,,双,1,14.5,14.5,3.6,24.83,10.9,2,2079
70,037293,安达208女拖,,对,4,11.9,47.6,12.8,26.89,34.8,4,2079
71,070597,多款文胸,,件,18,3,54,54,100,0,-20,2070
72,070612400406,蚊香盘(大号),,个,45,1.5,65.5,38.5,58.78,27,102,1087
73,0930678910250,男士运动袜025,,对,4,3.5,14,7.67,54.77,6.33,0,1087
74,101003,喜之郎散装多味果冻条/果冻,5GK,公斤,371.84,13,4560.31,841.89,18.46,3718.41,176.055,1029
75,101005,喜之郎中价位果冻,1*5,公斤,39.72,20,754.65,158.88,21.05,595.8,32.139,1029
76,101007,喜之郎A类果冻、,35g、30g,公斤,51.1,26,1073.17,132.87,12.38,940.31,47.893,1029
77,101012,达利散装蛋黄派系列,1*2.5,公斤,10.39,21.6,222.71,44.06,19.78,178.64,7.258,1074
78,101056,徐福记散糖系列,,公斤,2.4,39.8,95.52,30.72,32.16,64.8,-102.685,1087
79,101058,徐福记巧克力系列,,公斤,6.3,59.8,376.9,86.97,23.08,289.89,6.724,1087
80,101073,散装阿尔卑斯奶糖,2.5kg,公斤,73.91,47.6,3518.25,783.47,22.27,2734.74,12.904,1029
81,101077,散装花生芝麻糖,,公斤,0.24,10.4,2.45,0.42,17.31,2.03,-0.236,2064
82,101081,散装辣椒粉,,包,105,2,210,115.5,55,94.5,-736,1087
83,101082,散装烧烤粉,,包,113,2,226,124.3,55,101.7,-776,1087
84,101099,木碳,,公斤,101.98,6,593.41,165.1,27.82,428.32,87.021,2065
85,101100,达利园瑞士卷系列,*2.5公斤,公斤,9.32,25.6,238.49,48.44,20.31,190.05,4.85,1074
86,101101,达利园散装软面包,1*2.5,公斤,1.59,23.6,37.43,17.45,46.61,19.98,-6.822,1074
87,101103,盼盼20g散装面包,1*2kg,公斤,30.14,25.8,777.74,257.42,33.1,520.29,45.668,1029
88,101104,达利园散装小面包,1*2.5,公斤,3.96,21.6,85.64,17.44,20.37,68.18,19.766,1074
89,101105,好和系列散装饼,1*4KG,公斤,10.85,25.6,277.72,62.92,22.66,214.79,25.684,5045
90,101106,益民散装蛋糕系列,1*5公斤,公斤,22.35,19.6,438.05,98.34,22.45,339.72,26.42,5045
91,101107,正和散装饼系列,1*5公斤,公斤,28.66,19.6,467.99,32.41,6.93,435.6,29.674,5045
92,102010017,飘柔/海飞丝/潘婷5ML*10包,1*48,条,60,3,180,28.8,16,151.2,133,2049
93,108050,日清8506-1.8米排插,,个,3,21,63,28.5,45.24,34.5,5,2066
94,110908,美的微波炉,,台,1,790,790,80,10.13,710,0,1109
95,111,小号塑料袋,,个,1460,0.1,146,14.6,10,131.4,-18934,1087
96,120510,李锦记沪式甜酱170克,,杯,1,1.5,1.5,0.5,33.33,1,0,1032
97,120511,李锦记杯酱系列,,杯,7,2.5,18.5,3.5,18.92,15,1,1032
98,120521,金帝巧克力80克,,块,1,10,10,5.7,57,4.3,36,1032
99,120560,味好美袋装调料系列,,袋,1,1.5,1.5,0.6,40,0.9,-1,1032
100,123000,半肥瘦猪肉,,公斤,1909.43,25,47738.26,47738.21,100,0,-51145.103,5064
101,123001,猪瘦肉,,公斤,321.59,30,9647.73,9647.73,100,0,-8396.258,5064
102,123002,五花肉,,公斤,419.68,26,10911.55,10911.55,100,0,-12332.221,5064
103,123003,猪肉馅,,公斤,0.48,19,9.16,9.16,100,0,-48.35,5064
104,123004,猪前脚,,公斤,190,24,4559.98,4559.95,100,0,-3809.964,5064
105,123005,猪后脚,,公斤,97.06,22,2135.45,2135.41,100,0,-3109.045,5064
106,123006,猪尾骨,,公斤,198.63,30,5958.84,5958.84,100,0,-5216.853,5064
107,123007,猪小排,,公斤,117.99,32,3775.56,3775.55,100,0,-3595.491,5064
108,123008,猪大排,,公斤,85.71,40,3428.32,3428.32,100,0,-2363.897,5064
109,123009,猪沙骨,,公斤,142.18,30,4265.46,4265.46,100,0,-3547.208,5064
110,123011,猪筒骨,,公斤,246.41,22,5421.09,5421.11,100,0,-6637.846,5064
111,123013,猪腰梅肉,,公斤,33.64,30,1009.32,1009.32,100,0,-1165.531,5064
112,123014,猪板油,,公斤,2.19,9,19.69,19.69,100,0,-10.254,5064
113,123015,猪肥肉,,公斤,80.05,10,800.53,800.53,100,0,-1898.678,5064
114,123016,瘦肉馅,,公斤,0.65,27,17.55,17.55,100,0,-3.76,5064
115,123017,猪腰,,公斤,17.52,32,560.66,560.64,100,0,-472.515,5064
116,123018,猪肺,,个,50,3.5,175,175,100,0,-1280,5064
117,123019,猪肝,,公斤,88.85,20,1776.96,1776.96,100,0,-2545.282,5064
118,123020,猪肚,,公斤,33.19,50,1659.7,1659.7,100,0,-963.14,5064
119,123021,猪横利,,公斤,13.22,6,79.34,79.34,100,0,-2140.488,5064
120,123022,猪粉肠,,公斤,91.84,10,918.36,918.36,100,0,-1642.107,5064
121,123023,猪大肠,,公斤,42.93,10,429.34,429.34,100,0,-1028.168,5064
122,123024,猪七寸,,公斤,11.74,14,164.43,164.42,100,0,-276.704,5064
123,123025,猪面肉,,公斤,119.94,10,1199.36,1199.36,100,0,-2640.013,5064
124,123027,猪脚,,公斤,0.36,10,3.56,3.56,100,0,-0.356,5064
125,123031,猪小肚,,公斤,112.91,8,903.31,903.31,100,0,-636.354,5064
126,123033,鲜猪皮,,公斤,10.01,6,60.09,60.08,100,0,-359.574,5064
127,123036,猪心,,公斤,13.91,20,278.2,278.2,100,0,-152.095,5064
128,141066,黑米八宝粥,,公斤,162.4,13,1672.21,1672.2,100,0,-1980.172,5010
