序号	学校中文名称	学校英文名称	学校中文简称	学校英文简称	学校类别	主管部门	学校所在地	办学层次	学校运营模式	办学模式	属于985工程	属于211工程	属于中西部高校基础能力建设工程	属于高等学校学科创新引智计划	
1	北京大学	Peking University			综合	教育部	北京市	本科	公立	教育部直属高等学校	Y	Y	N	Y	
2	中国人民大学	Renmin University Of China			综合	教育部	北京市	本科	公立	教育部直属高等学校	Y	Y	N	Y	
3	清华大学	Tsinghua University			工科	教育部	北京市	本科	公立	教育部直属高等学校	Y	Y	N	Y	
4	北京交通大学	Beijing Jiaotong University			工科	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	Y	
5	北京工业大学	Beijing University of Technology			工科	北京市	北京市	本科	公立		N	Y	N	Y	
6	北京航空航天大学	Beihang University			工科	工业和信息化部	北京市	本科	公立		Y	Y	N	Y	
7	北京理工大学	Beijing Institute of Technology			工科	工业和信息化部	北京市	本科	公立		Y	Y	N	Y	
8	北京科技大学	University of Science and Technology Beijing			工科	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	Y	
9	北方工业大学	North China University of Technology				北京市	北京市	本科	公立		N	N	N	N	
10	北京化工大学	Beijing University of Chemical Technology			工科	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	Y	
11	北京工商大学	Beijing Technology and Business University				北京市	北京市	本科	公立		N	N	N	N	
12	北京服装学院	Beijing Institute Of Fashion Technology				北京市	北京市	本科	公立		N	N	N	N	
13	北京邮电大学	Beijing University of Posts and Telecommunications			工科	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	Y	
14	北京印刷学院	Beijing Institute Of Graphic Communication				北京市	北京市	本科	公立		N	N	N	N	
15	北京建筑大学					北京市	北京市	本科	公立		N	N	N	N	
16	北京石油化工学院	Beijing Institute Of Petrochemical Technology				北京市	北京市	本科	公立		N	N	N	N	
17	北京电子科技学院	Beijing Electronics Science&amp;Technology Institute				中央办公厅	北京市	本科	公立		N	N	N	N	
18	中国农业大学	China Agricultural University			农业	教育部	北京市	本科	公立	教育部直属高等学校	Y	Y	N	Y	
19	北京农学院	Beijing University Of Agriculture				北京市	北京市	本科	公立		N	N	N	N	
20	北京林业大学	Beijing Forestry University			林业	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	Y	
21	北京协和医学院	Peking Union Medical College				国家卫生和计划生育委员会	北京市	本科	公立		N	N	N	Y	
22	首都医科大学	Capital Medical University				北京市	北京市	本科	公立		N	N	N	N	
23	北京中医药大学	Beijing University of Chinese Medicine			医药	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	Y	
24	北京师范大学	Beijing Normal University			师范	教育部	北京市	本科	公立	教育部直属高等学校	Y	Y	N	Y	
25	首都师范大学	Capital Normal University (CNU)				北京市	北京市	本科	公立	教育部与地方共建高校	N	N	N	N	
26	首都体育学院	Capital Institute Of P.E Beijing China				北京市	北京市	本科	公立		N	N	N	N	
27	北京外国语大学	Beijing Foreign Studies University			语言	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	N	
28	北京第二外国语学院	Beijing International Studies University				北京市	北京市	本科	公立		N	N	N	N	
29	北京语言大学	Beijing Language and Culture University				教育部	北京市	本科	公立	教育部直属高等学校	N	N	N	N	
30	中国传媒大学	Communication University of China			语言	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	Y	
31	中央财经大学	Central University of Finance and Economics			财经	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	Y	
32	对外经济贸易大学	University of International Business and Economics			财经	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	N	
33	北京物资学院	Beijing Wuzi University				北京市	北京市	本科	公立		N	N	N	N	
34	首都经济贸易大学	Capital University of Economics and Business				北京市	北京市	本科	公立		N	N	N	N	
35	外交学院	China Foreign Affairs University				外交部	北京市	本科	公立		N	N	N	N	
36	中国人民公安大学	Chinese People’s Public Security University				公安部	北京市	本科	公立		N	N	N	N	
37	国际关系学院	University of International Relations				教育部	北京市	本科	公立	教育部直属高等学校	N	N	N	N	
38	北京体育大学	Beijing Sport University			体育	国家体育总局	北京市	本科	公立		N	Y	N	Y	
39	中央音乐学院	Central Conservatory of Music			艺术	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	N	
40	中国音乐学院	China Conservatory of Music				北京市	北京市	本科	公立		N	N	N	N	
41	中央美术学院	Central Academy of Fine Art				教育部	北京市	本科	公立	教育部直属高等学校	N	N	N	N	
42	中央戏剧学院	The Central Academy Of Drama				教育部	北京市	本科	公立	教育部直属高等学校	N	N	N	N	
43	中国戏曲学院	the National Academy of Chinese Theatre Arts				北京市	北京市	本科	公立		N	N	N	N	
44	北京电影学院	Beijing Film Academy				北京市	北京市	本科	公立		N	N	N	N	
45	北京舞蹈学院	Beijing Dancing Academy				北京市	北京市	本科	公立		N	N	N	N	
46	中央民族大学	Minzu university of China			民族	国家民委	北京市	本科	公立		Y	Y	N	Y	
47	中国政法大学	China University of Political science and Law			政法	教育部	北京市	本科	公立	教育部直属高等学校	N	Y	N	Y	
48	华北电力大学	North China Electric Power University			工科	教育部	北京市	本科	公立		N	Y	N	Y	
49	中华女子学院	China Women’s University				中华妇女联合会	北京市	本科	公立		N	N	N	N	
50	北京信息科技大学	Beijing information science				北京市	北京市	本科	公立		N	N	N	Y	
51	中国矿业大学（北京）					教育部	北京市	本科	公立	教育部直属高等学校	N	N	N	Y	
52	中国石油大学（北京）					教育部	北京市	本科	公立	教育部直属高等学校	N	N	N	Y	
53	中国地质大学（北京）					教育部	北京市	本科	公立	教育部直属高等学校	N	N	N	Y	
54	北京联合大学	Beijing Union University				北京市	北京市	本科	公立		N	N	N	N	
55	北京城市学院	Beijing City University				北京市教委	北京市	本科	民办		N	N	N	N	
56	中国青年政治学院	China Youth University For political Sciences				共青团中央	北京市	本科	公立		N	N	N	N	
57	首钢工学院	Shougang Institute Of Technology				北京市	北京市	本科	公立		N	N	N	N	
58	中国劳动关系学院	China Institute Of Industrial				中华全国总工会	北京市	本科	公立		N	N	N	N	
59	北京吉利学院					北京市教委	北京市	本科	民办		N	N	N	N	
60	首都师范大学科德学院					北京市教委	北京市	本科	民办		N	N	N	N	
61	北京工商大学嘉华学院					北京市教委	北京市	本科	民办		N	N	N	N	
62	北京邮电大学世纪学院					北京市教委	北京市	本科	民办		N	N	N	N	
63	北京工业大学耿丹学院					北京市教委	北京市	本科	民办		N	N	N	N	
64	北京警察学院	Beijing Police University				北京市	北京市	本科	公立		N	N	N	N	
65	北京第二外国语学院中瑞酒店管理学院					北京市教委	北京市	本科	民办		N	N	N	N	
66	中国科学院大学					 	北京市	本科	公立		N	N	N	N	
67	北京工业职业技术学院	Beijing Polyteehnic College				北京市	北京市	专科	公立		N	N	N	N	
68	北京信息职业技术学院	Beijing Information Technology College				北京市	北京市	专科	公立		N	N	N	N	
69	北京电子科技职业学院	Beijing Vocational College of Electronic Science				北京市	北京市	专科	公立		N	N	N	N	
70	北京京北职业技术学院	Nopthern Beijing Vocational Education Insyiture				北京市	北京市	专科	公立		N	N	N	N	
71	北京交通职业技术学院	Beijing Jiaotong Vocational Technical College				北京市	北京市	专科	公立		N	N	N	N	
72	北京青年政治学院	Beijing Youth Politics College				北京市	北京市	专科	公立		N	N	N	N	
73	北京农业职业学院	Beijing Vocational College of Agriculture				北京市	北京市	专科	公立		N	N	N	N	
74	北京政法职业学院	Bei Jing college of politics and law				北京市	北京市	专科	公立		N	N	N	N	
75	北京财贸职业学院	Beijing Cai Mao Zhi Ye Xue Yuan				北京市	北京市	专科	公立		N	N	N	N	
76	北京北大方正软件职业技术学院	Peking University Founder Technology College				北京市教委	北京市	专科	民办		N	N	N	N	
77	北京经贸职业学院	Beijing Professional Business Institure				北京市教委	北京市	专科	民办		N	N	N	N	
78	北京经济技术职业学院	Beijing Institute of Business and Technology				北京市教委	北京市	专科	民办		N	N	N	N	
79	北京戏曲艺术职业学院	Beijing Vocational of Local Opera and Arts				北京市	北京市	专科	公立		N	N	N	N	
80	北京汇佳职业学院	Beijing Huijia Vocational College				北京市教委	北京市	专科	民办		N	N	N	N	
81	北京科技经营管理学院	Beijing Science Technology And Management College				北京市教委	北京市	专科	民办		N	N	N	N	
82	北京科技职业学院	University for Science&Technology Beijing				北京市教委	北京市	专科	民办		N	N	N	N	
83	北京培黎职业学院	Beijing Bailie University				北京市教委	北京市	专科	民办		N	N	N	N	
84	北京经济管理职业学院	Beijing Institure of Economic Management				北京市	北京市	专科	公立		N	N	N	N	
85	北京劳动保障职业学院	Beijing Vocational College of Labour and Social Security				北京市	北京市	专科	公立		N	N	N	N	
86	北京社会管理职业学院	Beijing Institure of society Management				北京市	北京市	专科	公立		N	N	N	N	
87	北京艺术传媒职业学院					北京市教委	北京市	专科	民办		N	N	N	N	
88	北京体育职业学院	Beijing College of Sports				北京市	北京市	专科	公立		N	N	N	N	
89	北京交通运输职业学院					北京市	北京市	专科	公立		N	N	N	N	
90	北京卫生职业学院					北京市	北京市	专科	公立		N	N	N	N	
91	北京网络职业学院					北京市教委	北京市	专科	民办		N	N	N	N	
92	南开大学	Nankai University			综合	教育部	天津市	本科	公立	教育部直属高等学校	Y	Y	N	Y	
93	天津大学	Tianjin Univeristy			工科	教育部	天津市	本科	公立	教育部直属高等学校	Y	Y	N	Y	
94	天津科技大学	Tianjin University of Science and Technology				天津市	天津市	本科	公立		N	N	N	N	
95	天津工业大学	Tianjin Polytechnic University				天津市	天津市	本科	公立		N	N	N	N	
96	中国民航大学	Civil Aviation University of China				交通运输部	天津市	本科	公立		N	N	N	N	
97	天津理工大学	Tianjin University of Technology				天津市	天津市	本科	公立		N	N	N	Y	
98	天津农学院	Tianjin Agricultural University				天津市	天津市	本科	公立		N	N	N	N	
99	天津医科大学	Tianjin Medical University			医药	天津市	天津市	本科	公立		N	Y	N	N	
100	天津中医药大学	Tianjin University of Traditional Chinese Medicine				天津市	天津市	本科	公立		N	N	N	N	
101	天津师范大学	Tianjin Normal University				天津市	天津市	本科	公立		N	N	N	N	
102	天津职业技术师范大学					天津市	天津市	本科	公立	教育部与地方共建高校	N	N	N	N	
103	天津外国语大学					天津市	天津市	本科	公立		N	N	N	N	
104	天津商业大学	Tianjin University of Commerce				天津市	天津市	本科	公立		N	N	N	N	
105	天津财经大学	Tianjin University of Finance and Economics				天津市	天津市	本科	公立		N	N	N	N	
106	天津体育学院	Tianjin Univeristy of Sport				天津市	天津市	本科	公立		N	N	N	N	
107	天津音乐学院	Tianjin Conservatory of Music				天津市	天津市	本科	公立		N	N	N	N	
108	天津美术学院	Tianjin Academy of Fine Arts				天津市	天津市	本科	公立		N	N	N	N	
109	天津城建大学					天津市	天津市	本科	公立		N	N	N	N	
110	天津天狮学院	Tianjin Tianshi International University				天津市教委	天津市	本科	民办		N	N	N	N	
111	天津中德应用技术大学					天津市	天津市	本科	公立		N	N	N	N	
112	天津外国语大学滨海外事学院					天津市教委	天津市	本科	民办		N	N	N	N	
113	天津体育学院运动与文化艺术学院					天津市教委	天津市	本科	民办		N	N	N	N	
114	天津商业大学宝德学院					天津市教委	天津市	本科	民办		N	N	N	N	
115	天津医科大学临床医学院					天津市教委	天津市	本科	民办		N	N	N	N	
116	南开大学滨海学院					天津市教委	天津市	本科	民办		N	N	N	N	
117	天津师范大学津沽学院					天津市教委	天津市	本科	民办		N	N	N	N	
118	天津理工大学中环信息学院					天津市教委	天津市	本科	民办		N	N	N	N	
119	北京科技大学天津学院					天津市教委	天津市	本科	民办		N	N	N	N	
120	天津大学仁爱学院					天津市教委	天津市	本科	民办		N	N	N	N	
121	天津财经大学珠江学院					天津市教委	天津市	本科	民办		N	N	N	N	
122	天津市职业大学					天津市	天津市	专科	公立		N	N	N	N	
123	天津滨海职业学院	Tianjin Coastal Polytechnic				天津市	天津市	专科	公立		N	N	N	N	
124	天津工程职业技术学院	Tianjin Engineering Technical Institute				天津市	天津市	专科	公立		N	N	N	N	
125	天津青年职业学院	Tianjin Youth Professional College				天津市	天津市	专科	公立		N	N	N	N	
126	天津渤海职业技术学院	Tianjin Bohai Vocational Technical College				天津市	天津市	专科	公立		N	N	N	N	
127	天津电子信息职业技术学院	Tianjin Electronic Information Vocational College				天津市	天津市	专科	公立		N	N	N	N	
128	天津机电职业技术学院	Tianjin College of Mechanical Engineering				天津市	天津市	专科	公立		N	N	N	N	
129	天津现代职业技术学院	Tianjin Modern Vocational Technology College				天津市	天津市	专科	公立		N	N	N	N	
130	天津公安警官职业学院	Tianjin Public Security Profession College				天津市	天津市	专科	公立		N	N	N	N	
131	天津轻工职业技术学院	Tianjin Light Industry Vocational Technical College				天津市	天津市	专科	公立		N	N	N	N	
132	天津商务职业学院					天津市	天津市	专科	公立		N	N	N	N	
133	天津国土资源和房屋职业学院	Tianjin Land Resources and House Vocational College				天津市	天津市	专科	公立		N	N	N	N	
134	天津医学高等专科学校	Tianjin Medical College				天津市	天津市	专科	公立		N	N	N	N	
135	天津开发区职业技术学院	Tianjin TEDA Polytechnic				天津市	天津市	专科	公立		N	N	N	N	
136	天津艺术职业学院	Tianjin Art Vocational College				天津市	天津市	专科	公立		N	N	N	N	
137	天津交通职业学院	Tianjin Transportation Vocational College				天津市	天津市	专科	公立		N	N	N	N	
138	天津冶金职业技术学院	Tianjin Metallurgical Vocational Technology Institute				天津市	天津市	专科	公立		N	N	N	N	
139	天津石油职业技术学院	Tianjin Petroleum Vocational and Technical College				天津市	天津市	专科	公立		N	N	N	N	
140	天津城市职业学院	Tianjin City Vocational College				天津市	天津市	专科	公立		N	N	N	N	
141	天津铁道职业技术学院	Tianjin Railway Technical and Vocational College				天津市	天津市	专科	公立		N	N	N	N	
142	天津工艺美术职业学院	Tianjin Vocational College of Art and Design				天津市	天津市	专科	公立		N	N	N	N	
143	天津城市建设管理职业技术学院	Tianjin Urban Construction Management & Vocation Technology College				天津市	天津市	专科	公立		N	N	N	N	
144	天津生物工程职业技术学院	Tianjin Vocational College of Bioengineering				天津市	天津市	专科	公立		N	N	N	N	
145	天津海运职业学院	Tianjin Ocean Shipping Vocational College				天津市	天津市	专科	公立		N	N	N	N	
146	天津广播影视职业学院	Tianjin Broadcasting TV and Film Institute				天津市	天津市	专科	公立		N	N	N	N	
147	河北大学	Hebei University				河北省	保定市	本科	公立	教育部与地方共建高校	N	N	Y	N	
148	河北工程大学	Hebei University of Engineering				河北省	邯郸市	本科	公立		N	N	Y	N	
149	河北地质大学					河北省	石家庄市	本科	公立		N	N	N	N	
150	河北工业大学	Hebei University of Technology			工科	河北省	天津市	本科	公立	教育部与地方共建高校	N	Y	Y	N	
151	华北理工大学					河北省	唐山市	本科	公立		N	N	N	N	
152	河北科技大学	Hebei University of Science and Technology				河北省	石家庄市	本科	公立		N	N	N	N	
153	河北建筑工程学院	Hebei Institute of Architecture Civil Engineering				河北省	张家口市	本科	公立		N	N	N	N	
154	河北水利电力学院					河北省	沧州市	本科	公立		N	N	N	N	
155	河北农业大学	Hebei Agricultural University				河北省	保定市	本科	公立		N	N	Y	N	
156	河北医科大学	Hebei Medical University				河北省	石家庄市	本科	公立		N	N	Y	N	
157	河北北方学院	Hebei North College				河北省	张家口市	本科	公立		N	N	N	N	
158	承德医学院	Chengde Medical College				河北省	承德市	本科	公立		N	N	N	N	
159	河北师范大学	Hebei Normal University				河北省	石家庄市	本科	公立	教育部与地方共建高校	N	N	Y	N	
160	保定学院	Baoding University				河北省	保定市	本科	公立		N	N	N	N	
161	河北民族师范学院					河北省	承德市	本科	公立		N	N	N	N	
162	唐山师范学院	Tangshan Teachers College				河北省	唐山市	本科	公立		N	N	N	N	
163	廊坊师范学院	Langfang Teachers College				河北省	廊坊市	本科	公立		N	N	N	N	
164	衡水学院	Hengshui College				河北省	衡水市	本科	公立		N	N	N	N	
165	石家庄学院	Shijiazhuang University				河北省	石家庄市	本科	公立		N	N	N	N	
166	邯郸学院	Handan College				河北省	邯郸市	本科	公立		N	N	N	N	
167	邢台学院	Xingtai University				河北省	邢台市	本科	公立		N	N	N	N	
168	沧州师范学院					河北省	沧州市	本科	公立		N	N	N	N	
169	石家庄铁道大学					河北省	石家庄市	本科	公立		N	N	Y	N	
170	燕山大学	Yanshan University				河北省	秦皇岛市	本科	公立	教育部与地方共建高校	N	N	Y	N	
171	河北科技师范学院	Hebei Normal University of Science and Technology				河北省	秦皇岛市	本科	公立		N	N	N	N	
172	唐山学院	Tangshan College				河北省	唐山市	本科	公立		N	N	N	N	
173	华北科技学院	North China Institute of Science and Technology				国家安全生产监督管理总局	廊坊市	本科	公立		N	N	N	N	
174	中国人民武装警察部队学院	Chinese People's Armed Police Force Academy				公安部	廊坊市	本科	公立		N	N	N	N	
175	河北体育学院	Hebei Institute of Physical Education				河北省	石家庄市	本科	公立		N	N	N	N	
176	河北金融学院	Hebei College of Finance				河北省	保定市	本科	公立		N	N	N	N	
177	北华航天工业学院	North China Institute of Aerospace Engineering				河北省	廊坊市	本科	公立		N	N	N	N	
178	防灾科技学院	College of Disaster Prevention Techniques				中国地震局	廊坊市	本科	公立		N	N	N	N	
179	河北经贸大学	Hebei University of Economics and Business				河北省	石家庄市	本科	公立		N	N	N	N	
180	中央司法警官学院	The Central Institute for Correctional Police				司法部	保定市	本科	公立		N	N	N	N	
181	河北传媒学院	Hebei Institute of Communication				河北省教育厅	石家庄市	本科	民办		N	N	N	N	
182	河北工程技术学院					河北省教育厅	石家庄市	本科	民办		N	N	N	N	
183	河北美术学院					河北省教育厅	石家庄市	本科	民办		N	N	N	N	
184	河北科技学院					河北省教育厅	保定市	本科	民办		N	N	N	N	
185	河北外国语学院					河北省教育厅	石家庄市	本科	民办		N	N	N	N	
186	河北大学工商学院					河北省教育厅	保定市	本科	民办		N	N	N	N	
187	华北理工大学轻工学院					河北省教育厅	唐山市	本科	民办		N	N	N	N	
188	河北科技大学理工学院					河北省教育厅	石家庄市	本科	民办		N	N	N	N	
189	河北师范大学汇华学院					河北省教育厅	石家庄市	本科	民办		N	N	N	N	
190	河北经贸大学经济管理学院					河北省教育厅	石家庄市	本科	民办		N	N	N	N	
191	河北医科大学临床学院					河北省教育厅	石家庄市	本科	民办		N	N	N	N	
192	华北电力大学科技学院					河北省教育厅	保定市	本科	民办		N	N	N	N	
193	河北工程大学科信学院					河北省教育厅	邯郸市	本科	民办		N	N	N	N	
194	河北工业大学城市学院					河北省教育厅	廊坊市	本科	民办		N	N	N	N	
195	燕山大学里仁学院					河北省教育厅	秦皇岛市	本科	民办		N	N	N	N	
196	石家庄铁道大学四方学院					河北省教育厅	石家庄市	本科	民办		N	N	N	N	
197	河北地质大学华信学院					河北省教育厅	石家庄市	本科	民办		N	N	N	N	
198	河北农业大学现代科技学院					河北省教育厅	保定市	本科	民办		N	N	N	N	
199	华北理工大学冀唐学院					河北省教育厅	唐山市	本科	民办		N	N	N	N	
200	中国地质大学长城学院					河北省教育厅	保定市	本科	民办		N	N	N	N	
201	燕京理工学院					河北省教育厅	廊坊市	本科	民办		N	N	N	N	
202	北京中医药大学东方学院					河北省教育厅	廊坊市	本科	民办		N	N	N	N	
203	北京交通大学海滨学院					河北省教育厅	沧州市	本科	民办		N	N	N	N	
204	河北东方学院					河北省教育厅	廊坊市	本科	民办		N	N	N	N	
205	河北中医学院					河北省	石家庄市	本科	公立		N	N	N	N	
206	张家口学院					河北省	张家口市	本科	公立		N	N	N	N	
207	河北环境工程学院					河北省	秦皇岛市	本科	公立		N	N	N	N	
